student_id,gender,study_group,study_hours_per_day,attendance_pct,sleep_hours,social_media_hours,extracurricular_hours,previous_score,exam_score
378,Female,Group A,5.3,82.6,7.5,2.2,1.2,58.4,100.0
379,Male,Group A,3.5,94.8,6.4,4.9,5.6,71.1,85.0
380,Female,Group C,4.3,94.8,7.1,2.6,0.5,51.3,97.0
381,Male,Group A,4.9,94.1,4.4,4.3,1.0,67.2,90.4
382,Female,Group C,3.4,,5.0,3.1,2.0,53.6,82.2
383,Male,Group C,3.0,77.9,5.0,0.8,5.9,82.3,88.6
384,Female,Group C,2.1,77.3,7.0,1.5,0.4,25.0,75.7
385,Female,Group A,0.0,89.1,10.0,2.4,0.1,77.7,78.9
386,Female,Group A,1.2,100.0,6.8,3.3,2.5,78.2,80.6
387,Female,Group C,3.4,98.9,6.3,1.7,1.6,64.4,99.5
388,Female,Group B,3.2,100.0,6.4,0.9,0.9,70.0,99.1
389,Male,Group A,4.1,98.2,7.8,1.4,3.7,68.1,95.1
390,Female,Group C,3.3,62.6,7.4,2.1,5.7,84.4,71.7
391,Male,Group C,3.7,79.6,5.0,1.6,0.7,89.8,93.5
392,Female,Group B,4.7,76.8,7.8,2.0,0.8,65.2,91.0
393,Female,Group B,2.2,97.0,6.5,5.5,1.2,89.5,77.2
394,Female,Group C,3.1,100.0,7.6,3.2,0.7,55.4,84.6
395,Female,Group A,1.1,74.0,3.9,1.7,0.9,71.2,69.8
396,Male,Group C,5.0,82.5,4.5,2.8,0.4,71.6,94.1
397,Female,Group C,3.6,88.7,7.3,5.1,2.7,46.1,92.7
398,Male,Group B,4.2,76.1,4.2,3.8,0.9,69.9,85.2
399,Male,Group A,5.8,74.5,7.0,2.7,3.5,55.0,100.0
400,Female,Group C,5.1,73.9,6.9,1.0,2.6,76.9,97.8
401,Female,Group B,3.4,92.6,6.7,0.5,1.0,51.7,98.2
402,Male,Group B,4.7,71.1,7.0,2.4,0.3,38.4,96.2
403,Female,Group B,1.4,95.6,6.8,2.7,0.0,45.5,69.4
404,Male,Group A,4.2,83.0,7.1,0.6,0.5,65.3,100.0
405,Female,Group C,3.7,91.0,6.0,1.0,2.5,69.7,91.4
406,Female,Group B,1.1,100.0,6.5,2.8,1.2,70.1,81.7
407,Female,Group B,5.5,74.0,10.0,0.0,2.2,53.6,100.0
408,Female,Group A,2.4,72.2,8.0,0.4,0.2,76.8,89.6
409,Male,Group B,4.5,87.1,7.3,2.8,2.1,56.8,100.0
410,Male,Group C,2.9,69.6,7.0,3.6,6.0,61.7,63.7
411,Female,Group A,5.0,73.2,5.6,3.3,0.0,79.7,91.3
412,Female,Group C,5.5,80.6,6.8,4.2,0.2,62.6,95.1
413,Male,Group C,2.3,83.9,6.2,5.1,2.9,36.8,55.4
414,Female,Group A,1.2,67.1,7.7,4.1,0.7,75.7,65.4
415,Male,Group C,3.3,77.4,5.3,2.5,0.6,65.0,81.5
416,Female,Group A,4.8,89.0,3.4,5.8,2.8,59.2,89.7
417,Female,Group B,2.9,98.1,,5.2,3.2,84.3,93.9
418,Male,Group B,2.6,58.5,7.4,4.2,6.0,55.6,72.6
419,Male,Group A,4.2,97.6,9.7,1.7,0.4,74.8,100.0
420,Female,Group B,0.0,92.6,7.8,3.4,1.3,67.0,68.9
421,Male,Group A,2.5,69.0,5.2,0.0,0.2,100.0,82.9
422,Female,Group B,1.4,64.4,6.2,2.4,1.1,38.0,52.8
423,Male,Group C,3.9,87.0,5.3,0.0,2.7,67.9,100.0
424,Female,Group B,2.4,77.0,6.3,2.3,0.6,70.2,82.6
425,Male,Group B,1.8,83.6,5.3,4.3,1.1,81.5,74.8
426,Female,Group C,3.0,92.3,4.4,2.9,1.6,58.7,84.1
427,Male,Group B,1.3,77.5,7.1,5.1,0.1,55.5,72.1
428,Female,Group B,3.5,83.9,6.8,2.9,0.5,85.8,86.1
429,Female,Group C,2.5,87.7,6.3,3.0,0.7,58.6,92.2
430,Female,Group C,2.9,92.6,7.0,2.4,3.7,69.2,86.1
431,Female,Group B,2.4,100.0,9.1,3.6,1.8,64.2,79.5
432,Female,Group B,4.9,100.0,6.7,2.8,1.5,70.7,100.0
433,Male,Group B,3.3,84.9,6.0,4.6,0.4,44.8,85.2
434,Male,Group B,4.3,79.2,7.6,5.1,2.9,56.8,86.5
435,Female,Group C,4.2,100.0,4.4,3.4,0.4,64.1,91.7
436,Male,Group C,2.3,89.7,7.5,1.3,2.2,66.6,85.1
437,Female,Group B,4.4,87.1,5.5,3.7,0.5,81.4,100.0
438,Female,Group B,4.0,68.8,5.4,4.8,4.4,72.6,90.3
439,Male,Group C,4.0,91.3,6.6,3.8,0.1,73.6,86.8
440,Male,Group A,2.9,72.7,8.7,3.3,0.2,64.1,100.0
441,Male,Group A,2.9,76.5,5.5,4.2,3.4,83.8,85.1
442,Male,Group A,4.7,66.1,7.7,4.7,0.3,55.9,94.3
443,Male,Group C,6.8,75.8,7.0,0.0,1.3,63.5,100.0
444,Female,Group C,2.3,82.7,4.7,5.0,0.7,42.7,76.8
445,Female,Group B,4.3,64.1,7.7,4.0,1.3,49.2,83.9
446,Female,Group C,3.0,71.3,5.4,3.6,1.4,77.7,78.5
447,Male,Group C,4.7,81.1,4.6,2.1,1.0,64.2,90.9
448,Male,Group A,4.2,66.9,,3.2,1.0,37.1,80.5
449,Female,Group B,5.1,67.1,5.6,3.7,2.0,64.3,97.3
450,Female,Group A,0.0,72.1,7.3,0.8,0.3,61.4,71.9
451,Male,Group B,2.6,65.2,5.5,3.9,1.8,47.9,82.2
452,Female,Group A,2.0,89.3,8.4,3.0,0.0,69.9,84.9
453,Male,Group B,3.3,70.1,6.8,4.9,2.3,60.9,86.3
454,Female,Group B,2.4,91.2,5.6,3.8,0.8,65.0,73.8
455,Female,Group C,2.5,93.1,5.4,2.6,1.7,79.0,81.4
456,Male,Group B,4.5,67.7,6.8,3.0,0.2,55.7,89.5
457,Male,Group C,6.4,82.5,3.9,3.8,4.9,81.0,100.0
458,Female,Group B,0.0,76.3,3.7,3.1,3.8,60.9,69.3
459,Female,Group B,3.0,68.4,5.3,3.7,3.1,61.0,65.0
460,Male,Group B,4.0,78.0,7.3,1.9,2.5,84.2,95.4
461,Female,Group C,3.5,79.1,6.7,1.1,2.1,70.6,89.7
462,Male,Group A,3.0,90.5,6.5,2.1,0.0,58.8,88.4
463,Female,Group A,1.5,94.3,6.2,0.9,0.9,63.1,74.5
464,Male,Group B,2.1,68.8,3.7,1.8,0.4,68.1,76.5
465,Male,Group C,4.6,77.1,6.1,3.4,0.1,43.1,85.2
466,Female,Group B,5.1,88.3,4.2,0.6,1.8,74.9,98.9
467,Male,Group A,3.6,96.1,7.6,1.2,6.0,64.8,89.8
468,Male,Group B,2.2,52.8,6.5,3.9,5.4,45.5,69.4
469,Male,Group B,3.6,97.3,6.4,2.1,0.7,50.7,88.7
470,Female,Group A,3.1,80.0,7.0,2.9,0.4,77.8,93.7
471,Female,Group A,4.3,100.0,6.9,1.2,1.4,45.9,85.2
472,Male,Group C,3.7,76.9,6.8,1.4,0.2,97.0,97.6
473,Female,Group A,2.6,72.1,7.0,2.5,2.6,48.9,68.7
474,Female,Group C,3.8,82.5,5.7,5.2,3.4,67.9,78.8
475,Female,Group C,1.7,96.0,4.8,3.5,1.4,26.6,60.9
476,Female,Group A,4.7,82.4,6.9,0.5,3.2,63.7,100.0
477,Female,Group B,5.3,53.8,8.4,3.5,0.3,57.0,92.9
478,Male,Group C,1.7,90.2,7.8,4.2,3.2,72.0,75.8
479,Female,Group A,4.1,62.7,6.2,3.9,0.6,67.7,83.4
480,Female,Group B,2.0,70.3,7.3,1.2,1.1,59.7,80.5
481,Female,Group A,5.1,68.1,5.9,2.8,3.8,96.9,100.0
482,Male,Group C,4.9,60.0,7.0,5.9,1.1,76.2,90.8
483,Male,Group C,3.2,67.0,5.7,1.6,2.4,53.7,83.0
484,Male,Group A,5.0,70.2,6.7,3.4,0.4,69.9,96.1
485,Male,Group B,2.9,74.7,9.1,1.8,0.1,21.4,66.3
486,Female,Group C,2.5,81.4,7.5,1.1,4.3,55.8,71.6
487,Male,Group C,2.6,78.0,8.4,2.3,3.8,83.2,84.7
488,Female,Group C,3.3,64.2,5.5,4.3,2.3,56.2,73.9
489,Female,Group C,3.0,79.8,5.6,4.5,1.0,,82.2
490,Female,Group C,3.7,93.7,6.4,1.7,0.4,47.2,94.2
491,Male,Group B,2.6,93.4,7.2,2.2,0.1,76.2,84.6
492,Male,Group A,4.6,83.6,6.2,1.6,2.9,66.2,99.2
493,Female,Group B,5.0,89.4,7.8,0.0,3.4,64.4,100.0
494,Male,Group B,2.8,92.7,5.8,3.7,0.4,78.4,84.9
495,Male,Group B,1.4,98.3,8.3,5.1,1.6,89.0,72.4
496,Female,Group B,4.6,100.0,7.8,5.0,1.1,76.4,97.3
497,Male,Group B,5.2,78.2,5.0,2.2,1.0,38.4,99.1
498,Male,Group B,3.3,78.7,7.3,4.7,1.0,70.3,73.9
499,Female,Group C,1.6,99.7,6.2,4.4,1.1,68.3,74.8
500,Female,Group C,3.9,100.0,7.8,2.4,0.1,47.1,92.2
501,Male,Group C,5.8,100.0,5.8,2.9,0.4,40.1,98.8
502,Male,Group B,0.7,53.9,6.9,2.4,0.4,58.1,74.3
503,Male,Group A,4.2,79.4,7.2,3.2,0.8,59.8,94.5
504,Female,Group A,3.0,42.9,3.0,5.4,0.7,63.2,67.1
505,Female,Group B,2.2,90.8,4.1,1.6,6.0,53.2,82.0
506,Male,Group C,4.2,82.7,6.7,1.2,3.9,66.5,90.8
507,Male,Group C,1.6,82.6,6.3,4.1,1.8,68.6,70.8
508,Male,Group A,3.9,80.3,7.8,3.0,0.7,59.8,97.1
509,Male,Group C,5.5,97.6,6.8,0.2,1.2,69.9,100.0
510,Male,Group B,3.8,78.5,4.8,1.5,1.0,,91.1
511,Male,Group B,2.2,94.4,6.9,1.7,0.7,40.5,72.2
512,Male,Group A,0.8,,5.5,2.0,2.9,64.0,61.9
513,Female,Group B,1.6,86.3,6.2,3.4,2.2,77.3,82.8
514,Male,Group B,0.7,87.6,5.8,4.3,1.9,100.0,81.7
515,Female,Group C,5.9,83.3,7.0,2.7,0.7,32.2,91.9
516,Male,Group C,3.1,68.9,4.7,3.1,0.8,56.5,86.9
517,Female,Group C,1.9,90.6,5.0,1.9,0.7,51.0,73.1
518,Male,Group C,1.6,90.6,3.6,4.3,1.7,68.1,62.8
519,Male,Group A,1.9,80.3,9.3,4.8,2.0,50.9,73.3
520,Male,Group A,3.0,90.8,5.2,2.5,2.5,66.0,86.8
521,Female,Group C,1.6,92.8,5.4,1.9,1.3,78.9,74.1
522,Male,Group A,6.0,66.6,5.0,5.8,0.5,52.9,96.6
523,Female,Group B,2.4,80.3,5.7,4.2,2.4,63.0,73.7
524,Female,Group A,2.3,76.7,5.9,1.7,1.5,88.4,90.6
525,Male,Group B,4.0,71.1,7.3,0.5,5.0,77.4,97.2
526,Male,Group B,5.7,85.9,6.7,2.5,0.7,,89.0
527,Female,Group C,5.5,71.9,6.9,4.6,0.3,95.3,94.8
528,Male,Group A,2.8,76.8,5.7,2.1,2.7,54.0,80.9
529,Male,Group A,3.9,84.9,6.4,2.6,0.0,68.7,90.3
530,Male,Group C,3.7,86.2,8.1,2.2,0.3,58.0,98.7
531,Female,Group A,4.3,85.9,6.5,3.8,1.4,57.4,89.7
532,Female,Group B,3.9,100.0,6.9,4.9,1.8,53.8,81.8
533,Male,Group B,2.1,76.0,3.9,1.2,0.4,73.5,91.4
534,Female,Group C,1.6,85.0,7.2,2.5,0.1,52.6,70.7
535,Male,Group C,3.8,67.5,6.8,2.6,1.2,45.3,77.6
536,Male,Group A,1.7,87.8,8.2,2.0,2.3,55.7,70.1
537,Female,Group B,5.5,95.8,3.0,1.2,6.0,64.2,100.0
538,Male,Group B,3.6,96.6,6.5,4.1,0.6,34.2,86.7
539,Female,Group C,2.0,74.4,6.3,3.1,0.5,76.2,75.6
540,Female,Group A,3.0,78.6,6.6,3.9,1.8,53.5,70.7
541,Female,Group C,2.7,97.1,5.7,5.0,2.3,75.1,85.3
542,Male,Group C,3.3,80.9,6.8,2.4,0.5,85.0,99.6
543,Female,Group B,4.9,93.5,7.4,3.7,0.2,69.0,96.2
544,Male,Group A,1.3,70.3,6.5,2.4,0.4,72.3,68.7
545,Male,Group C,0.7,98.6,6.1,2.8,0.4,57.5,69.7
546,Female,Group A,4.0,,6.2,3.4,1.1,54.2,89.4
547,Male,Group B,3.2,87.6,6.0,2.7,0.3,35.9,80.3
548,Female,Group A,3.7,72.4,6.5,0.8,0.1,61.4,90.5
549,Female,Group C,4.2,80.1,5.5,5.0,5.0,56.1,78.6
550,Male,Group B,3.2,83.8,3.9,3.1,1.4,28.8,72.7
551,Male,Group C,4.7,85.2,8.2,1.3,0.0,68.4,100.0
552,Female,Group C,2.2,80.7,4.2,0.0,1.9,87.1,88.6
553,Female,Group C,3.6,79.4,6.3,2.9,0.3,70.4,100.0
554,Female,Group A,2.3,84.3,4.8,3.8,0.8,81.8,81.0
555,Female,Group C,1.8,98.7,6.1,4.3,1.2,60.3,73.5
556,Male,Group B,4.4,57.9,5.2,4.5,2.0,49.1,83.3
557,Male,Group A,4.4,65.5,6.4,2.4,5.0,65.3,97.2
558,Female,Group B,0.6,63.5,5.4,3.8,0.4,59.1,62.0
559,Female,Group B,1.8,73.8,4.8,0.8,0.1,47.3,74.8
560,Male,Group A,3.9,61.1,6.9,3.1,0.3,79.8,97.6
561,Female,Group A,5.1,88.6,8.2,4.2,0.6,66.9,100.0
562,Male,Group C,2.5,83.1,6.9,2.1,0.4,54.5,79.7
563,Male,Group A,3.2,79.0,6.6,2.7,0.8,67.3,78.0
564,Female,Group A,1.4,73.8,,3.1,0.8,,71.5
565,Male,Group B,7.3,83.9,6.3,3.1,4.4,73.6,100.0
566,Female,Group C,4.2,84.1,7.0,5.0,4.5,88.3,85.5
567,Male,Group C,4.8,86.0,5.6,1.4,0.9,55.1,91.5
568,Male,Group C,4.5,73.3,7.6,4.8,0.7,46.5,77.9
569,Female,Group B,4.9,89.8,6.4,1.2,3.2,85.1,99.3
570,Female,Group C,4.4,,6.9,2.0,1.8,100.0,96.8
571,Male,Group B,3.0,97.0,5.8,1.8,3.3,55.3,82.4
572,Female,Group A,4.6,45.1,5.8,2.8,0.8,50.8,82.8
573,Female,Group A,3.6,74.9,6.7,2.2,0.0,46.4,88.6
574,Male,Group B,5.4,67.6,6.9,3.6,0.5,64.3,89.2
575,Male,Group B,2.4,91.5,6.9,2.9,0.3,66.1,90.7
576,Male,Group A,2.7,64.2,5.1,6.0,1.5,60.5,62.5
577,Female,Group A,4.5,100.0,5.5,3.5,1.3,77.0,89.0
578,Female,Group B,5.4,63.5,6.4,2.6,0.2,52.2,85.6
579,Female,Group A,3.7,100.0,4.0,3.4,2.4,55.6,88.8
580,Male,Group C,2.4,87.4,7.8,3.8,1.7,45.7,74.0
581,Female,Group C,3.3,82.4,6.9,2.7,0.8,85.3,88.5
582,Female,Group C,2.8,87.2,6.5,1.4,0.9,80.6,88.8
583,Female,Group A,6.3,100.0,5.5,1.8,0.9,84.1,100.0
584,Male,Group A,4.8,92.7,7.5,3.2,1.7,51.9,100.0
585,Male,Group A,5.4,55.2,6.1,4.1,1.0,84.6,99.8
586,Female,Group B,4.0,96.3,8.9,3.6,3.5,68.9,91.7
587,Male,Group B,2.7,84.8,6.9,2.8,1.5,75.3,80.9
588,Female,Group C,5.3,62.6,4.5,3.7,0.7,73.3,93.5
589,Female,Group B,6.0,91.1,7.4,2.2,2.3,59.8,100.0
590,Female,Group C,4.4,67.5,5.7,3.3,1.3,62.1,80.8
591,Female,Group B,3.5,84.2,5.8,4.9,0.3,41.5,79.2
592,Female,Group C,5.1,84.8,6.1,4.5,1.6,56.4,97.5
593,Male,Group A,2.9,74.2,6.3,4.8,3.4,61.2,78.5
594,Male,Group B,4.6,89.8,6.8,2.4,0.9,47.3,98.9
595,Male,Group A,2.4,69.7,7.4,3.2,1.3,66.1,77.0
596,Male,Group C,2.0,84.3,7.0,1.5,0.1,83.8,100.0
597,Female,Group C,4.3,75.4,5.5,4.2,0.1,57.3,81.9
598,Female,Group A,4.0,,4.7,2.3,0.4,50.2,85.7
599,Male,Group C,6.4,100.0,5.4,1.1,4.5,51.9,100.0
600,Male,Group A,3.1,83.3,6.9,2.2,0.2,67.5,88.8
